,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
6212,Port Phillip,ELWOOD,-37.87666135,144.9766971,Townhouse,Private room,1,1,80,1,27,57,87,2,90,moderate,3,1.4,328
6213,Port Phillip,ELWOOD,-37.87811367,144.9896475,Apartment,Entire home/apt,1,2,71,1,3,8,24,2,100,moderate,1,2,328
6214,Port Phillip,ELWOOD,-37.87868826,144.990881,Condominium,Entire home/apt,1,1,84,4,0,4,4,0,,flexible,1,,328
6215,Port Phillip,ELWOOD,-37.87266534,144.98982,Apartment,Entire home/apt,3,3,180,3,16,37,67,0,,flexible,1,,328
6216,Port Phillip,ELWOOD,-37.88864625,144.988597,Guesthouse,Entire home/apt,1,1,120,2,21,40,62,2,100,flexible,1,1.67,328
6217,Port Phillip,ELWOOD,-37.87948422,144.9856136,House,Entire home/apt,4,4,842,7,11,20,20,0,,strict_14_with_grace_period,73,,328
6218,Port Phillip,ELWOOD,-37.87458095,144.9793006,Apartment,Entire home/apt,2,2,150,3,0,20,30,0,,strict_14_with_grace_period,1,,328
6219,Port Phillip,ELWOOD,-37.88680016,144.9871904,Apartment,Entire home/apt,0,1,239,1,29,59,89,1,80,flexible,1,1,328
6220,Bayside,ELWOOD,-37.8841769,144.9929511,Apartment,Entire home/apt,0,4,150,1,10,13,18,1,100,strict_14_with_grace_period,2,1,328
6221,Port Phillip,ELWOOD,-37.87812906,144.9861366,Apartment,Entire home/apt,2,2,96,2,18,40,70,0,,moderate,3,,328
6222,Port Phillip,ELWOOD,-37.88695205,144.9860574,Apartment,Entire home/apt,1,2,100,2,15,23,53,1,100,moderate,2,1,328
6223,Port Phillip,ELWOOD,-37.88456884,144.9878931,Apartment,Entire home/apt,1,1,60,7,0,25,31,1,,strict_14_with_grace_period,1,1,328
6224,Port Phillip,ELWOOD,-37.87922947,144.9865326,House,Entire home/apt,3,3,219,2,2,11,15,0,,moderate,2,,328
6225,Port Phillip,ELWOOD,-37.87761483,144.9841474,Apartment,Entire home/apt,1,1,120,10,28,54,54,1,,flexible,1,1,328
6226,Port Phillip,ELWOOD,-37.88179253,144.9811234,House,Entire home/apt,2,3,180,5,18,18,18,0,,moderate,2,,328
6227,Port Phillip,ELWOOD,-37.88173522,144.9810399,House,Private room,1,1,71,5,10,10,16,0,,flexible,2,,328
6228,Port Phillip,ELWOOD,-37.88527637,144.9832975,Apartment,Entire home/apt,1,1,96,4,9,19,43,0,,strict_14_with_grace_period,1,,328
6229,Port Phillip,ELWOOD,-37.87851144,144.9937067,Apartment,Entire home/apt,1,1,80,4,5,5,5,0,,flexible,1,,328
6230,Port Phillip,ELWOOD,-37.87387262,144.9872243,Apartment,Private room,1,1,50,7,13,13,13,0,,flexible,1,,328
6231,Port Phillip,ELWOOD,-37.88181831,144.9935954,Apartment,Private room,1,1,55,1,20,50,80,1,,strict_14_with_grace_period,1,1,328
6232,Port Phillip,"ELWOOD, MELBOURNE",-37.87574387,144.9824632,Apartment,Entire home/apt,2,2,400,7,0,0,13,0,,strict_14_with_grace_period,73,,3
6233,Port Phillip,"ELWOOD, MELBOURNE",-37.88018719,144.9888918,House,Entire home/apt,3,3,883,7,3,3,3,0,,strict_14_with_grace_period,73,,3
6234,Port Phillip,"ELWOOD, MELBOURNE",-37.8773128,144.9846602,House,Entire home/apt,3,4,880,7,9,34,34,0,,strict_14_with_grace_period,73,,3
6235,Port Phillip,"ELWOOD, ST. KILDA",-37.87108777,144.9812049,Guest suite,Private room,1,1,100,2,16,42,69,18,99,moderate,8,0.97,3
6236,Port Phillip,"ELWOOD, ST. KILDA",-37.87603947,144.9800032,Guest suite,Private room,1,1,100,1,14,33,60,10,90,moderate,8,0.56,3
6237,Port Phillip,"ELWOOD, ST. KILDA",-37.86841329,144.9816667,Guest suite,Private room,1,1,100,2,16,41,68,18,100,moderate,8,1.03,3
6238,Cardinia,EMERALD,-37.93221587,145.4444619,House,Entire home/apt,3,4,230,2,15,45,71,16,91,moderate,1,0.31,40
6239,Cardinia,EMERALD,-37.93629007,145.4384891,Bed and breakfast,Private room,1,1,195,1,28,58,88,0,,strict_14_with_grace_period,4,,40
6240,Cardinia,EMERALD,-37.9360248,145.4615376,Farm stay,Entire home/apt,6,7,345,1,10,27,51,50,89,strict_14_with_grace_period,1,1.09,40
6241,Cardinia,EMERALD,-37.91683342,145.4575212,Guest suite,Entire home/apt,1,1,186,1,20,50,80,289,96,strict_14_with_grace_period,2,6.43,40
6242,Cardinia,EMERALD,-37.91494052,145.4531252,House,Private room,1,1,97,1,0,16,46,34,98,strict_14_with_grace_period,2,0.74,40
6243,Cardinia,EMERALD,-37.93572341,145.4393026,Bed and breakfast,Private room,1,1,220,1,28,58,88,1,100,flexible,4,0.15,40
6244,Cardinia,EMERALD,-37.93534145,145.4392487,Bed and breakfast,Private room,1,3,289,1,28,58,88,1,,flexible,4,0.1,40
6245,Cardinia,EMERALD,-37.93579562,145.4401092,Bed and breakfast,Private room,1,1,270,1,28,58,88,0,,flexible,4,,40
6246,Cardinia,EMERALD,-37.92400954,145.443813,Train,Private room,1,1,170,1,0,0,0,0,,flexible,1,,40
6247,Cardinia,EMERALD,-37.94545701,145.451482,Guesthouse,Entire home/apt,2,3,230,1,5,29,51,30,98,strict_14_with_grace_period,2,0.71,40
6248,Cardinia,EMERALD,-37.9285879,145.4549405,House,Entire home/apt,3,6,251,2,0,4,34,23,97,moderate,1,0.7,40
6249,Cardinia,EMERALD,-37.91666388,145.4564256,Guesthouse,Entire home/apt,0,1,82,2,29,59,89,65,93,strict_14_with_grace_period,2,1.92,40
6250,Yarra Ranges,EMERALD,-37.90054739,145.4420035,House,Entire home/apt,1,2,190,2,24,52,74,19,100,strict_14_with_grace_period,3,0.84,40
6251,Cardinia,EMERALD,-37.94571975,145.4627417,House,Entire home/apt,4,6,270,2,5,21,47,40,96,moderate,1,1.39,40
6252,Cardinia,EMERALD,-37.94577094,145.4486623,Guest suite,Entire home/apt,1,1,205,1,13,43,68,0,,strict_14_with_grace_period,2,,40
6253,Cardinia,EMERALD,-37.91322176,145.4515416,Guest suite,Entire home/apt,1,1,97,1,20,47,76,83,97,strict_14_with_grace_period,2,2.94,40
6254,Cardinia,EMERALD,-37.92007026,145.4436954,House,Private room,1,1,90,1,28,58,88,3,93,flexible,1,0.16,40
