,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1777,Melbourne,MELBOURNE,-37.81433971,144.9609886,Apartment,Entire home/apt,1,1,136,666,0,0,0,12,95,flexible,1,0.3,4279
1778,Melbourne,MELBOURNE,-37.81027614,144.9724807,Apartment,Entire home/apt,1,1,150,2,0,12,24,211,98,moderate,1,4.8,4279
1779,Melbourne,MELBOURNE,-37.81266249,144.9617673,Apartment,Entire home/apt,3,4,228,3,10,23,53,134,92,strict_14_with_grace_period,4,3.11,4279
1780,Melbourne,MELBOURNE,-37.80983164,144.9650451,Apartment,Entire home/apt,1,2,186,1,0,0,0,1,80,flexible,1,0.02,4279
1781,Melbourne,MELBOURNE,-37.81154633,144.9710251,Loft,Private room,1,1,75,2,6,6,6,268,95,flexible,1,6.18,4279
1782,Melbourne,MELBOURNE,-37.81484268,144.9716186,Apartment,Entire home/apt,2,3,172,5,3,3,3,56,90,strict_14_with_grace_period,87,1.29,4279
1783,Melbourne,MELBOURNE,-37.81992047,144.9566991,Apartment,Entire home/apt,2,3,299,1,14,40,70,0,,strict_14_with_grace_period,13,,4279
1784,Melbourne,MELBOURNE,-37.80992088,144.969224,Apartment,Entire home/apt,1,1,170,2,30,60,90,13,95,flexible,4,0.3,4279
1785,Boroondara,MELBOURNE,-37.8211648,145.0429783,Cottage,Private room,1,1,71,2,6,21,51,19,98,moderate,2,0.46,4279
1786,Melbourne,MELBOURNE,-37.81662024,144.9519618,Apartment,Entire home/apt,1,1,180,5,21,43,73,2,100,strict_14_with_grace_period,1,0.05,4279
1787,Melbourne,MELBOURNE,-37.8078163,144.9633216,Apartment,Entire home/apt,2,3,170,5,0,0,0,67,92,strict_14_with_grace_period,87,1.61,4279
1788,Melbourne,MELBOURNE,-37.80986442,144.9706247,Apartment,Entire home/apt,1,1,89,12,9,20,50,35,94,strict_14_with_grace_period,4,0.83,4279
1789,Melbourne,MELBOURNE,-37.81235829,144.9601871,Apartment,Entire home/apt,2,2,180,2,2,2,2,36,98,moderate,1,0.86,4279
1790,Melbourne,MELBOURNE,-37.80843941,144.9603046,Apartment,Entire home/apt,2,2,180,1,22,52,82,43,90,strict_14_with_grace_period,90,1.03,4279
1791,Melbourne,MELBOURNE,-37.8162892,144.9714387,Apartment,Entire home/apt,1,1,159,1,0,0,0,160,92,strict_14_with_grace_period,7,3.72,4279
1792,Yarra,MELBOURNE,-37.79034825,144.9770027,Loft,Entire home/apt,0,1,220,2,27,50,80,60,97,strict_14_with_grace_period,2,1.4,4279
1793,Port Phillip,MELBOURNE,-37.84036983,144.9757779,Apartment,Entire home/apt,1,1,199,3,0,0,0,1,60,flexible,1,0.02,4279
1794,Melbourne,MELBOURNE,-37.81202971,144.9597787,Apartment,Entire home/apt,2,4,180,2,4,26,56,309,98,moderate,1,7.15,4279
1795,Melbourne,MELBOURNE,-37.82120182,144.9568724,Apartment,Entire home/apt,1,1,125,1,0,0,0,0,,flexible,1,,4279
1796,Melbourne,MELBOURNE,-37.82000767,144.9567898,Apartment,Entire home/apt,1,2,145,1,21,36,66,67,93,strict_14_with_grace_period,90,1.6,4279
1797,Melbourne,MELBOURNE,-37.81176776,144.9686478,Apartment,Entire home/apt,1,1,147,3,16,16,16,6,90,strict_14_with_grace_period,26,0.16,4279
1798,Melbourne,MELBOURNE,-37.81691335,144.9525309,Apartment,Entire home/apt,2,2,199,2,6,22,43,187,96,strict_14_with_grace_period,2,4.37,4279
1799,Melbourne,MELBOURNE,-37.81399957,144.9536976,Apartment,Shared room,1,4,35,3,8,24,54,5,92,strict_14_with_grace_period,25,0.12,4279
1800,Melbourne,MELBOURNE,-37.81444061,144.9519719,Apartment,Entire home/apt,1,2,125,1,11,33,33,69,98,strict_14_with_grace_period,4,1.62,4279
1801,Melbourne,MELBOURNE,-37.82074889,144.9548391,Apartment,Private room,1,1,55,5,0,0,0,2,80,flexible,1,0.05,4279
1802,Melbourne,MELBOURNE,-37.81372209,144.9515565,Apartment,Private room,1,2,89,2,0,0,0,44,95,moderate,2,1.03,4279
1803,Melbourne,MELBOURNE,-37.81767121,144.9544939,Apartment,Entire home/apt,1,2,140,1,10,10,10,63,95,strict_14_with_grace_period,90,1.48,4279
1804,Melbourne,MELBOURNE,-37.81465829,144.9699015,Apartment,Entire home/apt,2,2,100,20,2,19,19,73,95,moderate,2,1.8,4279
1805,Nillumbik,MELBOURNE,-37.60656543,145.2419318,House,Entire home/apt,2,2,251,1,17,39,69,13,100,strict_14_with_grace_period,2,0.42,4279
1806,Melbourne,MELBOURNE,-37.81376728,144.9539066,Apartment,Shared room,1,1,35,7,13,28,58,11,75,strict_14_with_grace_period,25,0.26,4279
1807,Melbourne,MELBOURNE,-37.81612072,144.9674056,Loft,Entire home/apt,1,1,199,1,12,34,64,180,98,moderate,6,4.71,4279
1808,Melbourne,MELBOURNE,-37.81006685,144.9669286,Apartment,Entire home/apt,2,4,161,2,21,47,77,90,93,strict_14_with_grace_period,1,2.18,4279
1809,Melbourne,MELBOURNE,-37.8140759,144.953962,Apartment,Shared room,1,4,35,3,16,30,60,9,84,strict_14_with_grace_period,25,0.26,4279
1810,Melbourne,MELBOURNE,-37.81490416,144.9524895,Apartment,Entire home/apt,1,2,109,1,12,20,38,304,91,strict_14_with_grace_period,98,7.16,4279
1811,Port Phillip,MELBOURNE,-37.85228773,144.9803394,Apartment,Entire home/apt,2,2,327,3,21,36,43,3,90,moderate,2,0.07,4279
1812,Port Phillip,MELBOURNE,-37.83472194,144.9729564,Apartment,Entire home/apt,2,2,245,3,0,0,0,6,83,strict_14_with_grace_period,1,0.15,4279
1813,Melbourne,MELBOURNE,-37.8150753,144.9529949,Apartment,Shared room,1,8,35,3,19,49,79,8,93,strict_14_with_grace_period,25,0.23,4279
